location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"47.03305556, 7.542777777",Hindelbank correctional facility,Switzerland,Espace Mittelland,177.70025,107.0,CH,Hindelbank correctional facility,17.770025
"47.03305556, 7.542777777",Hindelbank correctional facility,Switzerland,Espace Mittelland,325.507,196.0,CH,Hindelbank correctional facility,32.5507
"52.363333, 6.428056",Twilhaar Camp,Netherlands,Overijssel,166.075,100.0,NL,Twilhaar Camp,16.6075
"54.419, 42.857","Corrective colony No. 2, Mordovia",,,1361.815,820.0,,"Corrective colony No. 2, Mordovia",136.1815
"48.1232, 11.5834",Justizvollzugsanstalt München,Germany,Oberbayern,205.933,124.0,DE,Justizvollzugsanstalt München,20.5933
"47.96962952, 11.21817622",Justiz-Vollzugsanstalt (Rothenfeld),Germany,Oberbayern,181.02175,109.0,DE,Justiz-Vollzugsanstalt (Rothenfeld),18.102175
"48.805, 9.811416666",Justizvollzugsanstalt Schwäbisch Gmünd,Germany,Stuttgart,556.35125,335.0,DE,Justizvollzugsanstalt Schwäbisch Gmünd,55.635125
"49.67076, 15.39156",Q42297716,Czechia,Jihovýchod,1569.40875,945.0,CZ,Q42297716,156.940875
"49.14285, -0.3177",Q126365243,France,Basse-Normandie,915.07325,551.0,FR,Q126365243,91.507325
"37.984, 23.65",Korydallos Prison,Greece,Attica,2989.35,,Greece,Korydallos Prison,298.935
"38.22, 23.8",Avlona Special Juvenile Detention Establishment,Greece,Attica,830.375,500.0,Greece,Avlona Special Juvenile Detention Establishment,83.0375
"40.861, 14.276",Casa Circondariale di Napoli Poggioreale,Italy,Campania,3155.425,,IT,Casa Circondariale di Napoli Poggioreale,315.5425
"41.084, 14.247",Casa Circondariale di Santa Maria Capua Vetere,Italy,Campania,1660.75,,IT,Casa Circondariale di Santa Maria Capua Vetere,166.075
"39.57740558, 21.80581427",Trikala Prison,Greece,Thessaly,996.45,600.0,Greece,Trikala Prison,99.645
"39.61098728, 22.39719064",Larisa Prison,Greece,Thessaly,920.0555,554.0,Greece,Larisa Prison,92.00555
"39.37343365, 22.95397808",Volos Special Juvenile Detention Establishment,Greece,Thessaly,99.645,60.0,Greece,Volos Special Juvenile Detention Establishment,9.9645
"39.24782364, 22.74089984",Kassaveteia Special Juvenile Detention Establishment,Greece,Thessaly,455.0455,274.0,Greece,Kassaveteia Special Juvenile Detention Establishment,45.50455
